pair_name,pair_symbol,pair_address,pair_decimal,asset_symbol,asset_address,asset_decimal,collateral_symbol,collateral_address,collateral_decimal,TVL_USD,Borrowed_USD,Supply_APR,Available_USD,Borrow_APR
LINK/WETH,kmWETH/LINK-LINK,0xff9204b12e7a472401f3fd74e6376baad2339747,18,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,0,0,0,0,1
USDT/WETH,kmWETH/USDT-LINK,0xfb274df1ba0c5908dbdb0a817da59f3d798b7dd6,6,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,91,12,0.03,79,0.25
USDT/LINK,kmLINK/USDT-LINK,0xf7d096efd533e942a7bbe111b0a3a39e38725d22,6,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,0,0,0,0,1
WBTC/USDT,kmUSDT/WBTC-LINK,0xf5ee248d350e8868bbf17497d1b5f6e6b2266c74,8,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,0,0,0,0,1
LINK/USDT,kmUSDT/LINK-LINK,0xf3b87e78dcaa42ebfd309ab458df055f3776b045,18,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,5580,125,0.01,5454,0.25
WETH/LINK,kmLINK/WETH-LINK,0xe833a897170db6275a54b302d71677d7505705e2,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,0,0,0,0,1
MIM/WBTC,kmWBTC/MIM-LINK,0xe335db69e2e2f6308a99dfc1c9fee19a215200ac,18,MIM,0xfea7a6a0b346362bf88a9e4a88416b77a57d6c2a,18,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8,0,0,0,0,1
WETH/WETH,kmWETH/WETH-LINK,0xe14e7aa04f27fb4263f94350e09a1cedb9098ba5,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,0,0,0,0,1
WETH/USDC,kmUSDC/WETH-LINK,0xdd9fdae46234a5cff95c40e87d8e06423a940547,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6,44,5,0.03,39,0.25
WBTC/WETH,kmWETH/WBTC-LINK,0xc952f6a5ce6e6731cd29abd8ae9c210da081e2a3,8,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,0,0,0,0,1
WETH/USDT,kmUSDT/WETH-LINK,0xbdfa6c34e8668457b19f18555fcbfebb94f9783a,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,USDT,0xfd086bc7cd5c481dcc9c85ebe478a1c0b69fcbb9,6,0,0,0,0,1
USDC/WBTC,kmWBTC/USDC-LINK,0xad010d4e3064e4de9978ce8d61a1c357eb6efa43,6,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8,92,0,0,92,1
USDC/LINK,kmLINK/USDC-LINK,0x9416d2018d42c62f8e545c23d7483ec8cb377dfa,6,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,2041,5,0,2036,0.25
LINK/WBTC,kmWBTC/LINK-LINK,0x933043692c81dbe19e0795d4b68d8f0269c0e30e,18,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,WBTC,0x2f2a2543b76a4166549f7aab2e75bef0aefc5b0f,8,0,0,0,0,1
MIM/WETH,kmWETH/MIM-LINK,0x8fcfe2a9315e4eba3776c4c65064964e3c40de91,18,MIM,0xfea7a6a0b346362bf88a9e4a88416b77a57d6c2a,18,WETH,0x82af49447d8a07e3bd95bd0d56f35241523fbab1,18,0,0,0,0,1
LINK/USDC,kmUSDC/LINK-LINK,0x850b217978c8d359e5b8ed9bcfdb3ed393895e62,18,LINK,0xf97f4df75117a78c1a5a0dbb814af92458539fb4,18,USDC,0xff970a61a04b1ca14834a43f5de4533ebddb5cc8,6,0,0,0,0,1
