product_id,contract_address,symbol,type,Price_Increment_x18,Size_Increment,Min_Size,Min_Depth_x18,Max_Spread_Rate_x18,Maker_Fee_Rate_x18,Taker_Fee_Rate_x18,Long_Weight_Initial_x18,Long_Weight_Maintenance_x18,
1,0x70e5911371472e406f1291c621d1c8f207764d73,WBTC,spot,1E+018,1000000000000000,3E+016,5E+021,3000000000000000,0,200000000000000,9E+017,9.5E+017,
2,0xf03f457a30e598d5020164a339727ef40f2b8fbc,BTC-PERP,perp,1E+018,1000000000000000,3E+016,5E+021,3000000000000000,0,200000000000000,9.5E+017,9.7E+017,
3,0x1c6281a78aa0ed88949c319cba5f0f0de2ce8353,WETH,spot,1E+017,1E+016,6E+017,5E+021,3000000000000000,0,200000000000000,9E+017,9.5E+017,
4,0xfe653438a1a4a7f56e727509c341d60a7b54fa91,ETH-PERP,perp,1E+017,1E+016,6E+017,5E+021,3000000000000000,0,200000000000000,9.5E+017,9.7E+017,
5,0xb6304e9a6ca241376a5fc9294daa8fca65ddcdcd,ARB,spot,100000000000000,5E+018,8E+020,2.5E+021,5000000000000000,0,200000000000000,8.5E+017,9.25E+017,
6,0x01ec802ae0ab1b2cc4f028b9fe6eb954aef06ed1,ARB-PERP,perp,100000000000000,1E+019,8E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
8,0x9c52d5c4df5a68955ad088a781b4ab364a861e9e,BNB-PERP,perp,1E+016,5E+016,5E+018,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
10,0x2a3bcda1bb3ef649f3571c96c597c3d2b25edc79,XRP-PERP,perp,100000000000000,2E+019,2.5E+021,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
12,0x0492ff9807f82856781488015ef7aa5526c0edd6,SOL-PERP,perp,1000000000000000,5E+017,1.3E+019,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
14,0xea884c82418ebc21cd080b8f40ecc4d06a6a6883,MATIC-PERP,perp,100000000000000,2E+019,1.5E+021,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
16,0x5ecf68f983253a818ca8c17a56a4f2fb48d6ec6b,SUI-PERP,perp,100000000000000,1E+019,1.7E+021,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
18,0xba3f57a977f099905531f7c2f294aad7b56ed254,OP-PERP,perp,100000000000000,1E+019,4E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
20,0x0ac8c26d207d0c6aabb3644fea18f530c4d6fc8e,APT-PERP,perp,1000000000000000,2E+018,1.5E+020,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
22,0x8bd80ad7630b3864bed66cf28f548143ea43dc3b,LTC-PERP,perp,1E+016,1E+017,2E+019,2.5E+021,5000000000000000,0,200000000000000,9E+017,9.5E+017,
